	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996
16SAMP-12028	0.0	0.4007303965160297	0.399859114931973	0.28774039982286337	0.29643867494068254	0.24884284861663553	0.4208279700817533	0.3670455554153994	0.17099816722734507	0.3856149522491584	0.4536592150515881	0.38413563099208403	0.3372182499573657	0.24534269977461187	0.26300649511239527	0.48416532256426303	0.5890277556210073	0.6566402115134999	0.5509538122695322	0.6393735399943326	0.2668936873001987	0.5054421808795884	0.6282126731136427	0.6200467438648677	0.34754761503455256	0.4902971239529561	0.6007894824503937	0.4718080888183981	0.5276020966534185	0.5233014670863874	0.4840254289090835	0.47592234846750836	0.5560043485295327	0.4420313589790029	0.5654372001659114	0.5969261956279517	0.6498854720015594	0.536351244544736	0.4469524777734615	0.6691913147929021	0.6592528975503259	0.716348711341464	0.5828557709370661	0.5851321156960416	0.5468904461677028	0.4678077938874725	0.6276523847979956	0.6598131014020863	0.7233076197987804	0.6124895028354138	0.656395066094876	0.5894391907128361	0.5570798225643674	0.6056922444772214	0.6209306725985546	0.6175904650294002	0.5853274550197578	0.6355790888087619	0.5996331225814637	0.5803091790805244	0.5214418452896032	0.33992769242066245	0.5301998575124677	0.5658005550968931	0.8500817644345675	0.8383975572206834	0.8364809929419248	0.8382394387311486	0.8521608441409252	0.458279592535074	0.3500565616359764	0.8316269963172074	0.933237758468394	0.5791751146090309	0.5533935426909221	0.5479558703958591	0.5168181518606615	0.49875824467777885	0.5603227609143075	0.44384921461211413	0.38938253352844454	0.5584707696659101
16SAMP-12029	0.4007303965160297	0.0	0.43502563881014644	0.43804884856016024	0.30633543408809194	0.40134789762980083	0.37544627051851764	0.4959849357278472	0.36882956207787354	0.46477286080587177	0.41112372509827844	0.4224727131427938	0.4065225718194254	0.35899343153513474	0.4075675990548693	0.5509178784923898	0.550900449937285	0.5129917118622573	0.5807602256823723	0.5986830741168098	0.454404945904173	0.44622863961541315	0.5395901555464593	0.5489702666299767	0.44839830539352554	0.5097210687630017	0.542370096197103	0.3567923626154943	0.4442120854425351	0.44824163196577704	0.5261895180957955	0.6134886870577045	0.4354664862602554	0.49477353104676036	0.5847263713980533	0.545187739947051	0.6047542945285262	0.5918541233526796	0.4993367921723991	0.6617349985389218	0.6819593756074221	0.6222281890835345	0.5589354913387886	0.5840139716633794	0.5003817970547085	0.44496171615906743	0.5135803877135612	0.6343684731595278	0.6728826110754418	0.54943856718634	0.4754570406602473	0.536180965450347	0.5106656791820023	0.5857806480852028	0.5205016433949509	0.5541508469991886	0.5893417592671134	0.625488341489493	0.5002288620134036	0.6033636275875384	0.5976615591782797	0.5573662731779463	0.5041194662650057	0.6236506167068215	0.8280322546641175	0.8237191219721546	0.8215265019716069	0.8212976201554978	0.8285538339896908	0.42075847291077595	0.4516450987286069	0.8218902905215326	0.902392206372906	0.4979541663878584	0.6101532544392695	0.605835439832181	0.5718955300785777	0.5412079348489492	0.6535918907007492	0.5036799572563948	0.4874164026751143	0.6402620294125385
16SAMP-12030	0.399859114931973	0.43502563881014644	0.0	0.32565598102540383	0.35030402161931506	0.3488291854345815	0.3316206417799683	0.5121507350695985	0.34489854457927493	0.5236434096810566	0.42248581324388734	0.2620893392550787	0.35256677010633286	0.3119777281671623	0.35819453263969137	0.4332690301768404	0.6349736533366832	0.6376181456622063	0.5721756963056719	0.5071362664680628	0.37664782037466227	0.4105698096583573	0.6098860527101045	0.6416909673148827	0.4353242010410253	0.4651746266278447	0.44417215729220894	0.5990675166085337	0.5179573970419142	0.4004081097321056	0.47175237421534366	0.5963909733476787	0.5626282523705284	0.4839713988859706	0.5406664259555372	0.5984457467755653	0.6207904605043242	0.5782626348597719	0.5481656259314642	0.7096991548962578	0.7284358172223493	0.6838390378370955	0.5881245948148494	0.5974588306330677	0.5181137372508042	0.4425199207970013	0.6454531190355193	0.6360410754003432	0.69894741678696	0.5583306685248735	0.6498294268916731	0.5557103418984923	0.5430946423652557	0.6411382648829915	0.5979873317063807	0.5982438542459511	0.5736630131710054	0.6304005209414696	0.6695394382370365	0.6478346874221899	0.603759801168861	0.5302418836593579	0.5166660605840212	0.5927031444582815	0.8577533847455455	0.8516497682027628	0.8484921045406075	0.8556087023607468	0.8675868225412606	0.6106591353625671	0.5268737845551155	0.8605076902136927	0.9314459400942984	0.6397808581042272	0.6040259359389208	0.6239928751960422	0.6187188816027765	0.5990414082356263	0.6739342384283521	0.5401747859624169	0.4980300276677697	0.6363231536533831
16SAMP-12031	0.28774039982286337	0.43804884856016024	0.32565598102540383	0.0	0.37355706253577703	0.2933899223406178	0.4497430219298969	0.4087679793324954	0.22688081828648943	0.44014652249024255	0.3376198262107887	0.2370513708396137	0.17577972130981756	0.2962138184025205	0.3083359800640101	0.5139908590502293	0.6076571467848919	0.5809316407549103	0.5513746407611678	0.55880437693973	0.43032426441671723	0.40630901929196694	0.5406551510527029	0.6406417649612982	0.38323489898861873	0.49263633047601685	0.5049216680105979	0.5772394771555341	0.5663284622822669	0.48740940171187075	0.5092013838416141	0.5954919073266742	0.5742580455515394	0.4727219098668687	0.5655088020391688	0.6827272069353463	0.7196962564911713	0.6328678637874448	0.5588010467684386	0.7135286625278359	0.7276229883687584	0.7259088971873183	0.6503219030206367	0.6684412728079367	0.6347496633998184	0.5814664711990085	0.6413409109086035	0.6717164722543636	0.7314573416536312	0.6262663062907159	0.664007943997392	0.6069505990480879	0.576442770771378	0.6865776145252127	0.6341306833760207	0.6409441959260382	0.6024837575186528	0.644554705475224	0.6932092340603102	0.6705731206006995	0.6289326668626875	0.4891022294848809	0.5553824588796821	0.5846588970002706	0.8650067200495883	0.8563454621887991	0.8527512468054093	0.8622051262052789	0.8715079731254816	0.5706128935560768	0.48490787473044616	0.861234788023349	0.9479445809098391	0.607892203124851	0.5897999735724775	0.5850303112763995	0.5740198832272653	0.555202056894079	0.6100205210609542	0.49552160819632207	0.4522864423628905	0.5742625534789461
16SAMP-12032	0.29643867494068254	0.30633543408809194	0.35030402161931506	0.37355706253577703	0.0	0.3309738389357405	0.2714669371312658	0.44502793662237217	0.27530223802551756	0.4493186951531084	0.38797152605093144	0.36021725913609093	0.4211875674921214	0.3524230721315561	0.34807989008205453	0.4460024590764201	0.6045083023494001	0.5850913565587115	0.6376359447103015	0.5356799407910915	0.4507034563713731	0.3622772286281215	0.6444659199907687	0.658964517897705	0.42447821529658003	0.4514266517102168	0.4784467778417152	0.48852837090938006	0.5661115540592443	0.4146289771372559	0.458183406678747	0.6063938430439451	0.5313771720613287	0.5090441671128685	0.5013978389048798	0.5322598333961158	0.6250613327002216	0.4808978813270659	0.4078734625913999	0.6805843175749132	0.7028028736561087	0.6175330406884412	0.5642576340941267	0.5638622823737708	0.5167687662902855	0.44725346834219704	0.5675022301300849	0.6275887066091236	0.7115287108043705	0.5132020661594252	0.5977943568596074	0.5270928625212123	0.4233239480871016	0.6040513029315961	0.6088101274800093	0.5527179898395749	0.5803111889624151	0.634530203422756	0.6271617834207487	0.5957933765669052	0.5904865893231117	0.5092112600053962	0.4899372801854761	0.613969666120775	0.8380845852495058	0.8299502191021777	0.823791757932564	0.8200431887494755	0.8401299099024163	0.4690702426945509	0.38929555246159253	0.8317362669987667	0.9261548026914186	0.5298192660212759	0.5518043859999202	0.5466287872103897	0.5042650087009026	0.48749556507174263	0.5983794261953426	0.4375334284975506	0.4095767258355194	0.5990741844843348
16SAMP-12033	0.24884284861663553	0.40134789762980083	0.3488291854345815	0.2933899223406178	0.3309738389357405	0.0	0.41386910108838704	0.37181752004191526	0.17881696502706845	0.41578534075150786	0.38348088425157423	0.3753303418505344	0.34279356087974333	0.25253009304289664	0.26939221857227114	0.366959083441192	0.5956988230845583	0.601479161228574	0.6009360145245215	0.611042971552677	0.3454181408187861	0.5056135889084998	0.6303346268862893	0.6223764093668691	0.35261487890063237	0.5825881563606767	0.5448622765519068	0.4955039588518162	0.4806043549103838	0.4664943185234173	0.4772832322792898	0.5806988022798608	0.549742400604712	0.44648126107439323	0.6193618315489615	0.5926253496415501	0.6621986174338222	0.5949590892140303	0.48820959063827063	0.7051477115614602	0.7206101737650494	0.681216079630933	0.5963056712526018	0.6359467266041661	0.5976413930815763	0.5303791060703487	0.5912423706633901	0.5944688981329206	0.671767658315415	0.5435592638594291	0.6198451915629855	0.5038836885082654	0.5110781885057194	0.6429045673764098	0.5539565220538734	0.5481004959421696	0.5797238606894619	0.5949710411776091	0.6411060907098711	0.6205636315421518	0.5692226005276813	0.4616540514255423	0.46179969361595696	0.5046089992809876	0.8518174366243021	0.8424143714555878	0.838374859919945	0.8406542411173602	0.8584896432441286	0.5622288914782574	0.46105743440760394	0.8389281208382982	0.930078705736267	0.5498851404234557	0.4951117870390812	0.5280454398968739	0.5088065853504773	0.4917149922630839	0.561079753801357	0.4657371776997008	0.4204937361827561	0.5089344575136187
16SAMP-12034	0.4208279700817533	0.37544627051851764	0.3316206417799683	0.4497430219298969	0.2714669371312658	0.41386910108838704	0.0	0.5379953733550762	0.35014360333917227	0.4639475798899153	0.4279209971741942	0.3634464695441362	0.40421004830422513	0.3562091770084912	0.3471747142895024	0.487635722392485	0.6434839093953939	0.6133355324595678	0.5815565184635278	0.49481940400223035	0.45951648881654306	0.2801034688010535	0.6015001607665743	0.6308788972850028	0.3879587472406182	0.3887034524392138	0.4704344550406019	0.49367768584905425	0.513567765488168	0.39987010811589174	0.4038877675942164	0.5854283638285225	0.5200282566464252	0.4200454289374437	0.5076513978319341	0.5849160561174076	0.6226013505546077	0.5128218123962918	0.5153051624595213	0.7014604368962012	0.7166360475034447	0.6433654627190601	0.5768231422137537	0.5204733168443914	0.4879744015941522	0.3839096842795896	0.6002572768415759	0.6456669351041405	0.738685305003254	0.5496256639759086	0.6203081235494426	0.5664799121749147	0.48020697161482784	0.6407327896535022	0.6296511766219778	0.5896778235714496	0.6059750227042464	0.6391398434224986	0.6536493779685701	0.6219662082800391	0.6323036624794095	0.5525848175544444	0.5270266084316824	0.6473033604332201	0.8496249786771568	0.8440010644843187	0.8398967075532602	0.8421908798998021	0.8594456579950267	0.5619302502561776	0.46746768420075857	0.8472954434848667	0.9254293234974825	0.5995907672650846	0.633594650948781	0.6295750788198202	0.6003383969892155	0.5476130751744142	0.6775869303783373	0.5404346463274476	0.520618540232272	0.6496247995973033
16SAMP-12035	0.3670455554153994	0.4959849357278472	0.5121507350695985	0.4087679793324954	0.44502793662237217	0.37181752004191526	0.5379953733550762	0.0	0.28950739426447103	0.4959220669964748	0.5611124789691821	0.5110172165326466	0.47065176754039806	0.3896432755800081	0.3805358092515161	0.2855840648210669	0.6757623222090292	0.690805422647528	0.7133757202274202	0.7247982516409881	0.5238140712906643	0.6156775156235705	0.7200958187913742	0.4868381271554264	0.4704119818620097	0.6904817902795254	0.6747516845899943	0.6335577234987708	0.643750574255	0.6475572054602559	0.6037021440075654	0.6767456569663549	0.6381064320069284	0.5752213140135143	0.7374096003272481	0.7549728186287492	0.7839386235144685	0.702010216038498	0.6346374382498237	0.7413664103342521	0.7956234574966916	0.7833185888518213	0.7251180082710222	0.7331703441109958	0.7046076990023454	0.6621254654826697	0.6592773503751646	0.6930152276475778	0.7559335211550198	0.7049578561053211	0.7259661487734481	0.6220421981351001	0.5862454673549389	0.7093983063289941	0.7117377429084013	0.7234067881444206	0.6849201921921182	0.7273408162846531	0.7153457627496185	0.7443714868676361	0.7083140745813005	0.4704458302668786	0.5380990462248849	0.39370995585730684	0.8963098035789019	0.8928671310790316	0.8904874701865586	0.8953907781251742	0.9029092301542474	0.6320296178765039	0.5626186639176873	0.8833411919610686	0.9769593969254874	0.6887971586920765	0.6729435793541781	0.6692554796541569	0.666552076529544	0.6427907871674539	0.6977507719328064	0.6040637057378351	0.43442104114373037	0.42630890453211057
16SAMP-12036	0.17099816722734507	0.36882956207787354	0.34489854457927493	0.22688081828648943	0.27530223802551756	0.17881696502706845	0.35014360333917227	0.28950739426447103	0.0	0.3425489846338342	0.42286743786475955	0.298772339326123	0.23667065485388228	0.10889205081171893	0.17591939445786875	0.43479491331196096	0.5749265526313097	0.6293989159453119	0.6013620208360833	0.6242381592025745	0.3167267193048636	0.46304946622117193	0.5906182705177581	0.5604529693192293	0.28666328885886394	0.5731122080495652	0.5793315172217133	0.5459383235346947	0.49662341604067084	0.5000380720322851	0.423487681098221	0.5538675067057576	0.5141473130000722	0.36578477145656807	0.6146038776983844	0.642914618012361	0.7038959059098859	0.6116184158128679	0.5238929987307019	0.6791286088494907	0.7038323669923328	0.7171504568846021	0.6424681131334625	0.6526548308204119	0.6057018844324403	0.5260728506120042	0.6161424563099654	0.6512787825276045	0.7200768856031097	0.6064804655280702	0.6492942915291373	0.5723165847612286	0.5364011231448054	0.6682689985023431	0.6156326913743277	0.6166052014641971	0.561699849401834	0.6262072871044333	0.6692918263623853	0.6454638929832293	0.5947205688213633	0.4058362715910495	0.4910926063973976	0.5271020931834922	0.8712585636256885	0.8621381578947369	0.8590631935866457	0.8624051360294847	0.8779289687110436	0.5456009520031733	0.4300115436669055	0.8614018863453915	0.9500190248929731	0.5849965241478856	0.5635653874808513	0.5579082007205702	0.5420397307273599	0.5219860234651914	0.5854926745188164	0.4396896865684672	0.3776605888742405	0.5270578696056939
16SAMP-12037	0.3856149522491584	0.46477286080587177	0.5236434096810566	0.44014652249024255	0.4493186951531084	0.41578534075150786	0.4639475798899153	0.4959220669964748	0.3425489846338342	0.0	0.46531464781179	0.49142795069554035	0.44209230389366316	0.40150891267964806	0.3067662791606641	0.6016219486273933	0.5039359884590575	0.6215503146767005	0.5836540435139573	0.5656297837624779	0.3646731923387151	0.4555237241629596	0.6014543570092257	0.5898295255307097	0.21905547308813011	0.47070424960582047	0.665065435391513	0.43606883202602575	0.48018889718642044	0.5382394633130656	0.4545990220426043	0.5596129642920296	0.4403024957840549	0.3010278892723315	0.47393349373742366	0.6348256732805673	0.6491662911221271	0.5809254647072186	0.5821287116223921	0.6050071094424565	0.5737364886333809	0.6331887563735107	0.665269445819622	0.6207594552249587	0.660976227908769	0.5825693583571174	0.670797123616419	0.6414589412969606	0.7491383018930362	0.6602234187360729	0.6630899901500105	0.6146539753073952	0.6226053108589493	0.6745064821031972	0.6249383278302781	0.6638098939437167	0.658273425199253	0.6830634336850927	0.7206342464163809	0.6985255233122218	0.6518408535771412	0.5569694757644211	0.6318429454770528	0.6690499389771438	0.8542000397360995	0.857782034876237	0.8599402609216996	0.8538096793431189	0.8735446981689907	0.587243235132517	0.4925060922273611	0.8597092062084111	0.9495426222988201	0.6449126390820583	0.6300330802688988	0.6214417770356132	0.5795065697656387	0.5551360257587382	0.6205175556976111	0.5622056484612652	0.5238474742520844	0.6467500714978662
