Sample	reads
16SAMP-12028	7471.0
16SAMP-12029	11152.0
16SAMP-12030	10595.0
16SAMP-12031	14924.0
16SAMP-12032	13464.0
16SAMP-12033	11973.0
16SAMP-12034	11709.0
16SAMP-12035	9145.0
16SAMP-12036	6427.0
16SAMP-12037	8914.0
16SAMP-12038	7534.0
16SAMP-12039	11803.0
16SAMP-12040	12441.0
16SAMP-12041	7195.0
16SAMP-12042	10686.0
16SAMP-12043	8329.0
16SAMP-12044	6940.0
16SAMP-12045	8578.0
16SAMP-12046	9828.0
16SAMP-12047	16852.0
16SAMP-12048	13902.0
16SAMP-12049	14080.0
16SAMP-12050	11862.0
16SAMP-12051	10771.0
16SAMP-12052	14708.0
16SAMP-12053	14762.0
16SAMP-12054	13579.0
16SAMP-12055	19462.0
16SAMP-12056	20125.0
16SAMP-12057	22627.0
16SAMP-12058	11815.0
16SAMP-12059	15663.0
16SAMP-12060	10435.0
16SAMP-12061	12013.0
16SAMP-12062	12860.0
16SAMP-12063	21029.0
16SAMP-12064	3816.0
16SAMP-12065	5885.0
16SAMP-12066	8442.0
16SAMP-12067	286.0
16SAMP-12068	1002.0
16SAMP-12069	2434.0
16SAMP-12106	65593.0
16SAMP-12107	50432.0
16SAMP-12108	25351.0
16SAMP-12109	57609.0
16SAMP-4961	27134.0
16SAMP-4962	72124.0
16SAMP-4963	38804.0
16SAMP-4964	61445.0
16SAMP-4965	47360.0
16SAMP-4966	75643.0
16SAMP-4967	61153.0
16SAMP-4968	69697.0
16SAMP-4969	218180.0
16SAMP-4970	39075.0
16SAMP-4971	47163.0
16SAMP-4972	39423.0
16SAMP-4973	51148.0
16SAMP-4974	42079.0
16SAMP-4975	40706.0
16SAMP-4976	31374.0
16SAMP-4977	18168.0
16SAMP-4978	20677.0
16SAMP-4979	20090.0
16SAMP-4980	19277.0
16SAMP-4981	7695.0
16SAMP-4982	9308.0
16SAMP-4983	6831.0
16SAMP-4984	12029.0
16SAMP-4985	13959.0
16SAMP-4986	9111.0
16SAMP-4987	474.0
16SAMP-4988	15265.0
16SAMP-4989	26020.0
16SAMP-4990	25422.0
16SAMP-4991	51333.0
16SAMP-4992	26856.0
16SAMP-4993	37898.0
16SAMP-4994	18350.0
16SAMP-4995	27065.0
16SAMP-4996	16367.0
