OTU	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996
OTU1	146	535	1023	264	2443	288	116	1602	168	133	524	119	36	531	2019	43	64	73	9	212	709	63	42	143	51	37	80	123	84	116	18	164	85	27	44	136	0	168	1325	0	6	402	52	1441	31	275	25850	69874	37497	60615	46346	74586	56811	66738	195592	35431	43417	37259	44567	35284	24164	27413	16781	18654	20	24	10	58	58	269	100	21	0	2622	5079	2550	42201	17042	32356	161	38	104
OTU2	7070	9661	8461	14035	9699	10873	11047	6438	5916	8325	6320	11040	11570	5609	7256	7883	6304	7128	9115	15344	11615	13562	11097	9857	13059	13314	12198	17575	17772	19860	10407	13477	8621	10205	11657	19005	3698	5221	629	252	933	60	64096	45627	24264	56974	1101	1848	1024	475	704	768	3834	2344	19599	3287	3493	1850	5950	6163	15072	3580	1130	1866	18068	17382	6640	7865	5643	10545	12398	7789	0	0	0	0	0	0	0	0	2	1
OTU3	139	738	728	259	599	561	309	383	231	159	363	522	731	866	1246	362	457	1265	628	1120	963	147	653	514	1239	1368	1261	1214	2167	2457	1172	1755	1683	1603	1101	1740	50	71	20	1	1	27	662	398	439	85	48	114	67	60	57	73	277	144	1324	290	194	197	491	574	1412	363	241	149	426	388	348	552	304	676	1131	347	0	79	252	134	2774	732	1768	7945	14060	14447
OTU4	17	0	0	13	4	1	48	3	2	47	0	0	0	0	1	4	0	0	6	0	0	5	0	0	2	0	0	4	0	0	5	0	1	0	0	0	0	1	9	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	17	6	66	6	95	125	9	66	0	5063	7585	9277	3455	2372	933	2561	910	236
OTU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	33	33	0	0	1	0	240	331	0	0	6	0	0	0	0	0	0	32	68	86	198	73	78	62	233	0	0	5	0	73	3	0	5	8605	956
OTU6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	2	5	12	12	61	0	27	0	0	0	0	0	0	0	0	1	10	8	12	3	0	3	17	6	0	38	47	6901	0	6	9	3045	1791	0
OTU7	3	33	127	11	10	40	1	49	12	9	22	2	7	0	3	2	10	55	0	10	12	2	5	13	20	11	5	17	15	26	65	30	6	1	17	32	4	191	2571	1	5	1712	25	1333	0	8	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	21	132	14	7	13	66	61	18	0	5172	9844	187	660	5698	22	422	157	119
OTU8	0	3	0	0	8	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	5	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	1	16	1	9	0	4	7	3	32	1	0	0	0	0	6	0	0	0	1	4	2	1	1	3	0	0	0	85	157	1888	25	68	64	2	131	0
OTU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	4	5	11	29	47	0	12	39	0	0	0	0	0	0	0	0	0	61	61	39	26	9	82	77	40	0	257	412	1607	785	147	1090	3794	976	236
OTU10	1	32	6	43	10	63	5	14	3	4	12	22	1	2	113	1	7	1	1	0	1	1	0	0	1	0	0	3	20	2	0	0	0	0	0	0	0	2	30	1	0	17	1	38	10	5	1	1	1	9	0	1	3	2	9	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	3	1	0	704	929	7	0	201	0	0	20	2
OTU11	1	31	21	2	35	7	0	7	0	0	1	0	0	0	2	2	10	0	0	1	0	0	0	0	0	2	2	371	0	0	0	1	0	0	0	0	1	4	18	0	0	20	21	11	0	0	106	214	153	231	190	140	150	199	995	45	48	93	123	43	36	15	11	6	27	82	8	13	7	32	72	7	0	700	978	1522	809	208	764	116	299	55
OTU12	12	1	0	25	0	1	36	0	0	44	17	3	36	1	0	0	0	0	43	0	1	26	0	0	47	4	0	10	0	13	81	0	1	100	0	0	0	29	38	0	1	6	8	267	0	16	0	0	0	4	2	0	0	0	121	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	30	462	19	73	221	2	0	0
OTU13	1	2	16	2	1	0	2	0	1	28	0	0	8	1	1	0	2	0	1	2	3	35	2	0	17	1	0	2	11	105	23	1	0	52	4	1	1	102	7	0	0	3	14	964	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	2	12	1	4	3	56	1	0	0	0	0	1	0	14	0	0	0	0
OTU14	1	0	0	2	11	5	0	2	1	4	25	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	15	9	5	2	0	0	47	62	7	271	143	282	0	0	0
OTU15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	2	6	3	2	0	1	0	134	8	163	29	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	14	3	0	1	4	6	5	0	0	0	0	0	0	0	0	0	0
OTU16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	573	4	131	34	39	0	0	0
OTU17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	259	18	0	3	0	0	0	2	90	0	0	0	0	0	0	0	0	0
OTU18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	7	8	400	1	10	0	0	1	0
OTU19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	1	0	6	4	3	0	12	24	0	61	6	149	0	0	40
OTU20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	90	70	3	8	15	0	0	56	43	0	0	0	0	0	0	0	0	0
OTU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	13	9	186	0	0	0	153	0	50
OTU22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	15	2	0	0	0	0	147	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	6	0	0	0	0
OTU23	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1	1	1	0	3	0	0	0	0	0	1	6	10	2	0	0	1	55	32	21	38	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	9	4	8	2	8	2	4	7	8	0	0	0	0	0	0	0	0	0
OTU24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	141	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU25	0	2	0	0	0	0	1	0	0	10	0	0	3	0	0	0	0	0	1	0	0	6	0	0	10	0	0	0	0	7	1	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
OTU26	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	7	0	0	0	2	2	0	0	1	1	0	1	0	1	4	5	10	0	0	0	1	48	42	1	18	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU27	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	3	0	0	0	0	41	15	18	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	14	17	7	14	0	0	14	12	0	0	0	0	0	0	0	0	0
