Phylum	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
"Proteobacteria"	97.5	92.4	91.5	97.6	94.9	94.3	96.5	95	96.1	96.5	94.1	95.3	93.7	87.9	87.2	95.5	92.8	84.5	93	93.2	92.9	98.4	94.3	95.1	89.3	90.6	90.6	91.6	88.9	88.4	88.6	88.5	83.7	85.2	91.2	91.5	97.6	92.7	67.9	88.1	93.9	24.5	98.2	93.8	96.2	99.7	99.4	99.4	99.3	99.4	99.4	99.6	99.2	99.1	98.6	99.1	99.5	99.2	98.8	98.5	96.4	98.8	98.6	99.2	95.3	94.3	89.7	88.6	88.3	89.9	89.6	90.1	80	17.2	19.5	10	82.2	63.5	85.4	0.883	0.151	0.648	37.0
"Actinobacteria"	0.201	0.0717	0.16	0.181	0.0743	0.00835	0.35	0	0.0156	0.942	0.239	0.0254	0.378	0.0278	0.00936	0	0.0432	0.0117	0.488	0.0237	0.036	0.49	0.0253	0	0.503	0.061	0.0147	0.0719	0.0745	0.597	0.889	0.0192	0.00958	1.43	0.07	0.0285	0.708	2.43	0.628	0.699	0.299	0.534	0.543	2.53	1.73	0.135	0.00369	0.025	0.00773	0.0228	0.00633	0.00793	0.0114	0.00717	0.0825	0.0102	0.00848	0.0127	0.00587	0.00713	0.0319	0.00319	0.011	0	0.413	1.04	1.61	1.42	1.71	0.532	0.0501	1.04	9.7	0.701	0.719	9.26	0.0955	0.678	0.755	0.0272	0.484	0	19.9
Firmicutes	2.29	7.52	8.32	2.22	4.98	5.65	3.11	5.02	3.87	2.57	5.64	4.63	5.94	12.1	12.8	4.45	7.13	15.5	6.5	6.77	7.05	1.14	5.61	4.9	10.2	9.38	9.36	8.3	11	11	10.5	11.4	16.2	13.4	8.72	8.45	1.6	4.74	31.4	9.44	5.19	74.7	1.21	3.58	1.95	0.172	0.63	0.521	0.683	0.531	0.631	0.368	0.805	0.861	1.25	0.868	0.513	0.756	1.21	1.47	3.56	1.21	1.39	0.754	3.8	4.04	7.63	9.07	8.65	9.32	10.4	8.06	0	82.1	79.7	80.7	17.7	35.9	13.9	99.1	99.4	99.3	14.6
"Bacteroidetes"	0	0.00897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0.00843	0.00928	0	0	0	0.0103	0.0149	0	0	0	0.00958	0	0	0.00476	0.0786	0	0	0	0	0.0411	0.0244	0.00793	0.126	0.00521	0.00737	0	0.00258	0	0.00211	0	0	0.00143	0.000917	0	0	0	0.00196	0	0	0	0	0	0.199	0.384	0.26	0.333	0.381	0.224	0	0.351	6.12	0.0131	0	0	0	0	0	0	0	0	11.1
(Unassigned)	0	0	0	0.0067	0	0	0	0	0	0	0.0265	0.00847	0.0161	0	0	0	0.0144	0.035	0.0102	0.00593	0	0.0071	0.00843	0	0	0.00677	0.00736	0	0	0	0	0	0	0	0.00778	0.00476	0	0.017	0	0.699	0.0998	0.0411	0	0.00595	0	0	0.00369	0.00139	0.00773	0.00163	0.00211	0.00132	0.00491	0.00143	0	0.00256	0.00848	0	0.00196	0.00713	0.00246	0.00319	0	0	0.204	0.187	0.403	0.312	0.644	0	0	0.362	2.53	0	0.0115	0.0118	0.00195	0.00372	0.00792	0	0.00369	0	8.2
"Chloroflexi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0.699	0.299	0.123	0	0	0	0	0	0	0.00773	0	0	0	0	0.00143	0.000458	0	0.00212	0	0	0	0.00246	0	0	0	0.0299	0.0467	0.182	0.204	0.205	0.00831	0	0.0988	0.422	0	0.00384	0.00393	0	0	0	0	0	0.00611	3.8
"Acidobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0.00996	0.0156	0.091	0	0.0732	0	0	0.011	0.844	0	0	0	0	0	0	0	0	0	1.6
Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0	0.00139	0.00258	0	0	0	0	0	0	0	0	0	0	0	0.00246	0	0	0	0.0398	0.0259	0.065	0.043	0.0439	0	0	0.022	0.211	0	0	0	0	0	0	0	0	0	1.3
Cyanobacteria/Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0.068	0.0237	0	0	0	0.00305	0.0615	0	0	0.00369	0	0.00258	0	0	0.00132	0	0	0.0229	0.0179	0	0.00507	0.00196	0	0.00983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Cloacimonetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0.00638	0	0	0	0	0	0	0.0118	0.35	0.2	0.0822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
"Planctomycetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00996	0	0.039	0	0.0293	0	0	0	0.211	0	0	0	0	0	0	0	0	0	0.3
"Synergistetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254	0	0.00238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
"Thermotogae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00843	0	0	0	0	0	0	0.00442	0.00846	0.00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139	0.00258	0.00163	0.00211	0	0	0	0	0	0	0.00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
