Order	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
(Unassigned)	94.6	86.6	79.9	94	72	90.8	94.3	70.4	92	93.4	83.9	93.5	93	78	67.9	94.6	91	83.2	92.8	91.1	83.6	96.3	93.6	91.5	88.8	90.2	89.8	90.3	88.3	87.8	88.1	86.1	82.6	85	90.7	90.4	97	88.8	7.49	95.8	96.2	3.53	97.7	90.5	95.7	98.9	4.07	2.57	2.65	0.781	1.49	1.02	6.28	3.37	9.02	8.44	7.41	4.7	11.6	14.7	37	11.4	6.23	9.02	92	92.2	88.5	86.6	85.8	87.7	88.8	88.1	32.7	0.00655	0.0154	0.0118	0.0039	0.00745	0.0106	0	0.0148	0.00611	27.5
Actinomycetales	0.201	0.0717	0.16	0.181	0.0743	0.00835	0.35	0	0.0156	0.942	0.239	0.0254	0.378	0.0278	0.00936	0	0.0432	0.0117	0.488	0.0237	0.036	0.49	0.0253	0	0.503	0.061	0.0147	0.0719	0.0745	0.597	0.889	0.0192	0.00958	1.43	0.07	0.0285	0.708	2.43	0.628	0.699	0.299	0.534	0.543	2.53	1.71	0.135	0.00369	0.025	0.00773	0.0228	0.00633	0.00793	0.0114	0.00717	0.0825	0.00768	0.00848	0.0127	0.00587	0.00713	0.0319	0.00319	0.011	0	0.378	1.03	1.44	1.3	1.57	0.532	0.0501	0.977	9.28	0.701	0.719	9.26	0.0955	0.678	0.755	0.0272	0.484	0	17.4
Rhizobiales	0	0.0179	0	0	0.00743	0	0.0171	0	0	0	0.0133	0	0	0	0	0	0	0.0233	0	0.0178	0	0.0071	0	0	0	0.00677	0.00736	0.00514	0	0.0177	0	0	0	0	0.00778	0.00476	0.183	0.238	0.0237	0	0	0.0411	0.157	0.0872	0.0868	0.0746	0.0147	0.00139	0	0.00325	0.00633	0.00132	0.00164	0.00143	0.000458	0.00768	0.00212	0.00507	0.00391	0.00238	0.00246	0	0.0055	0	0.836	0.498	0.65	0.559	0.952	0.0166	0.0287	0.746	10.5	0.00655	0	0	0	0.00372	0	0.00545	0	0	8.9
Lactobacillales	1.93	7.48	8.32	2.12	4.86	5.6	2.69	4.95	3.83	1.94	5.28	4.63	5.94	12.1	12.8	4.41	6.99	15.4	6.4	6.71	7.02	1.07	5.55	4.89	10.2	9.36	9.34	8.25	10.9	11	10.5	11.4	16.2	13.4	8.69	8.43	1.44	4.55	31.3	1.05	0.699	73.2	1.09	3.54	1.78	0.17	0.623	0.519	0.675	0.531	0.625	0.366	0.803	0.858	1.25	0.857	0.513	0.756	1.21	1.47	3.56	1.2	1.39	0.754	3.45	3.99	6.65	8.63	6.28	7.87	10.3	7.23	0	45.7	48.1	43.4	10.1	26.2	10	84.3	95.9	97.6	5.1
Burkholderiales	0	0	0	0	0	0.00835	0	0	0	0	0	0	0	0	0	0.012	0	0.0117	0	0	0	0	0	0	0	0	0	0.00514	0.00497	0.00442	0	0	0	0	0	0.00951	0.0262	0	0	0	0	0.0411	0.00915	0	0	0	0.00369	0.00277	0	0	0	0	0	0.00143	0.000458	0	0	0.00254	0.00196	0	0	0	0	0	0.294	0.301	0.273	0.419	0.366	0	0	0.373	4.01	0.00655	0.00384	0	0	0	0	0	0	0	4.7
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786	0	0	0	0	0	0.0427	0	0.134	0.0122	0	0.00139	0.00258	0.00488	0	0	0.00164	0	0.000458	0	0.00212	0.00254	0.00391	0.00238	0	0	0.0055	0	0.353	0.228	0.247	0.236	0.468	0	0	0.406	3.8	0.00655	0.00384	0.00393	0	0	0	0	0	0	4.1
Bacillales	0.361	0.0448	0	0.101	0.126	0.0501	0.41	0.0656	0.0467	0.583	0.332	0	0	0	0.00936	0.048	0.0432	0	0.0611	0.00593	0	0.0426	0	0	0.0136	0	0	0.0257	0	0	0.0423	0	0.0192	0	0	0	0	0.051	0.118	0	0	0.0411	0.0442	0.00793	0.0592	0.00174	0.00369	0	0	0	0.00211	0	0.00164	0	0	0	0	0	0	0	0	0.00319	0	0	0.333	0.0415	0.91	0.376	2.28	1.36	0.0788	0.757	0	36.3	31.6	37.3	7.6	9.64	3.82	14.8	3.45	1.75	3.5
Rhodocyclales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369	0	0.00258	0.00325	0.00211	0.00132	0.00164	0.00143	0	0.00256	0	0.00254	0.00196	0.00238	0	0	0	0.00484	1.85	0.918	0.403	0.612	0.366	0	0	0.483	30.4	0.0262	0	0.00787	0.00195	0.00372	0.00264	0	0	0.00611	3.2
Clostridiales	0	0	0	0	0	0	0.00854	0	0	0	0.0133	0	0	0	0	0	0.0288	0	0.0204	0.0119	0	0.0071	0.0169	0	0	0.00677	0.00736	0.00514	0.00497	0	0	0.00638	0	0	0	0.00951	0.0524	0.102	0.0118	1.75	1.1	0.164	0.0778	0.0258	0.11	0	0.00369	0	0.00773	0	0.00211	0	0	0.00143	0.000458	0.0102	0	0	0	0	0	0	0	0	0.0149	0.0104	0.065	0.0537	0.0878	0.0831	0.0501	0.0659	0	0	0	0.00393	0.00195	0	0.00264	0	0	0	3.2
"Sphingobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0	0	0	0.00476	0.0524	0	0	0	0	0	0.0168	0.00793	0	0.00521	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.0249	0.0311	0.169	0.172	0.146	0	0	0.0988	1.48	0	0	0	0	0	0	0	0	0	3.2
