	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996
16SAMP-12028	0.0	0.05341144334348191	0.0763957369845801	0.0032249405429933373	0.0811183315987594	0.031077948505540222	0.007485755072601786	0.08617089041241954	0.018329522761492762	0.008446199546330474	0.050113640464570244	0.02002043244179961	0.030858240466410905	0.10524960283492277	0.13676248403553193	0.01722148156832745	0.041120552630401444	0.11131143164824246	0.03570591352606008	0.03897407900119085	0.06087871688795968	0.012161895148266495	0.02700766104709581	0.02624952042845309	0.06504522131645861	0.05831707676157229	0.058971049486396115	0.0468003428724456	0.07214142620301603	0.07529636901193179	0.07284119450222339	0.07894675465625783	0.11783694200138956	0.10136291520709345	0.053070628338127736	0.051710618205125194	0.014853772277614603	0.04148035357855527	0.38704886801024296	0.06429928192741535	0.029642743891149577	0.5915874891772701	0.01753789251268469	0.0323570519600227	0.016163872627797095	0.024077043251357757	0.2719432560797206	0.27659704288759274	0.2758101025726787	0.28180011154313456	0.2794217516222072	0.2818868614837119	0.26409400118223136	0.2729935578730603	0.2536867356374349	0.2568755392750282	0.26210467852583913	0.2685980751842711	0.24563712817712607	0.23476756344184355	0.17416685352231417	0.24568026876212634	0.25926709506031576	0.2556374454266643	0.03320473777438015	0.035358902634410064	0.0661681567549604	0.07788732598492713	0.0818581198881907	0.056973156089933405	0.06379929646374655	0.0674409979626193	0.45274211466616066	0.5754783630000189	0.5720296517767239	0.5864408469790214	0.33173526950845306	0.40959490243199137	0.32056376560359034	0.7211090529201925	0.7369856593500039	0.8030846515685991
16SAMP-12029	0.05341144334348191	0.0	0.024878790862782118	0.05155067461412331	0.05959706422184543	0.023584908316997544	0.04881710395261194	0.0645720382491393	0.035626646225940195	0.05262756002398495	0.02261290027770807	0.035290308331746005	0.027383610051927153	0.05320140271918866	0.08396906156260178	0.039625659329651994	0.01475643358113609	0.06293955652125335	0.024500604502901837	0.016451121886175226	0.012592453347339973	0.0648957750678639	0.03004773379396293	0.02829337833939423	0.02734651942071561	0.02573008733648008	0.024731785150038092	0.016753566125143688	0.031116368999082128	0.033226541068462345	0.03223217934776997	0.030757803158958458	0.06959816026519296	0.05445690397290192	0.02241953464246906	0.019838824726945016	0.0668783895265423	0.03760567621917699	0.34787834141659335	0.06981622439074554	0.06472827701125723	0.5520799410064143	0.06983032283622137	0.04711169084561325	0.0658446089346748	0.07601748669339578	0.2842744382456154	0.28898763724738924	0.2881853842925347	0.29419371917248666	0.2918073912896487	0.2943580457173422	0.2764957673751959	0.28528453922684355	0.26619500332150137	0.26944213760146535	0.274711124481449	0.2810551106331723	0.25808160358072185	0.24736973833757492	0.16875630431325062	0.2583665865517363	0.27190083530757403	0.26833025349028294	0.05385676222440196	0.051239115821189944	0.03330268041839948	0.03464112378300027	0.04812559450812578	0.018573492048239958	0.024813240643355716	0.03743948808332652	0.4595880071690609	0.5363639370460693	0.5329088309809141	0.5561158230049504	0.28356094936014464	0.3683461365798526	0.27986297950549205	0.6728594624146302	0.6893133898274413	0.7548324690214123
16SAMP-12030	0.0763957369845801	0.024878790862782118	0.0	0.0749127104601967	0.046071195349379784	0.04807662650677724	0.07172357445672792	0.051104290832172466	0.059348555727140095	0.07546051801912311	0.028140214427143744	0.05949142018148575	0.05032255813673667	0.032002978604183795	0.0613659627033364	0.06344993406017094	0.0387976311395593	0.06152421854506479	0.04744779440237108	0.04023652409489628	0.017577154939155085	0.08767547669187599	0.053939717030497554	0.05190272423544439	0.04050625411820453	0.039706743483309395	0.03870836940114585	0.03450258887451394	0.04517873512819535	0.04638280722540296	0.04523376315092054	0.04205739889328369	0.06614180625427232	0.06021670182526424	0.03638657376825389	0.03387591406998999	0.09012917899621374	0.060229119445659555	0.32456338652475725	0.09133162053284138	0.08781789100892125	0.528880909439694	0.09317022065399118	0.06986359352708407	0.08888680641017666	0.09948879648374007	0.27101775565651787	0.2756719650991323	0.27487194331537024	0.28087400598562445	0.2785033884357901	0.28098039050757767	0.2631623459666429	0.27206589604368525	0.2527825837473452	0.256043533887259	0.26129300736444677	0.2676823386175637	0.24473019605584778	0.23396243230449892	0.15535702368456303	0.24494625922397126	0.25848937097025737	0.25490688861550437	0.07761151325265657	0.0746163557018498	0.05374487111412844	0.04551598424338452	0.05302553235841739	0.03632933650559992	0.03905263276579448	0.05392057743133309	0.45160638543975246	0.5134918424304179	0.5100444038856015	0.537038876582207	0.263165351947325	0.34537629156968536	0.25897204088388964	0.6572456607934183	0.6734624244861029	0.7393603205919737
16SAMP-12031	0.0032249405429933373	0.05155067461412331	0.0749127104601967	0.0	0.07970095681737362	0.029200348499716713	0.008592793232000814	0.08445020178497976	0.01699714252675149	0.007905269760023237	0.048494286698477676	0.019133979352938577	0.03054793051285694	0.10388890037109962	0.13488116523394117	0.019451438440698875	0.0405154093601626	0.11091998140528159	0.035452533205277116	0.03859096589887219	0.05957768143892804	0.01360029021721419	0.026623881840870736	0.02488490244565598	0.06477457545371573	0.05799048408653978	0.05858914096779502	0.046465540928007094	0.07155113221190262	0.0750346953370035	0.07257056104122647	0.0784725050728411	0.11748778356957473	0.1011032933529885	0.052715985727374334	0.05140092608665941	0.016698693890414423	0.04022500015405155	0.38481139986323176	0.06293557473014791	0.029143087383260845	0.589269495438075	0.019335204768368808	0.03142414874125987	0.01804005558403329	0.025767763824314886	0.2701870787141126	0.27483688065385653	0.2740264907767855	0.28005068969273433	0.27767015731858985	0.2801400225296812	0.26230704152228435	0.27111913723460107	0.2518698095170244	0.25513347312211687	0.26036051998649135	0.26685139009052694	0.24390217661388594	0.23303459575779178	0.17310493391561876	0.24394742532445515	0.25752293652096797	0.2538921058649245	0.03306418710035609	0.035097350809385953	0.06610659103608163	0.07782835742810129	0.08198971890928677	0.057047848993996224	0.06341374938305272	0.06742187076776754	0.45208528811802584	0.5737622711587382	0.5703157490207623	0.5852328266199176	0.33100528864196677	0.40821766028465384	0.31998968488810237	0.7209331086533257	0.7367948459633371	0.8028888860483265
16SAMP-12032	0.0811183315987594	0.05959706422184543	0.046071195349379784	0.07970095681737362	0.0	0.058719895419402514	0.07653394659508227	0.006362357339353721	0.06325206302307712	0.08020712130810673	0.039671336501699336	0.06340672801697142	0.07047130472693862	0.068248943403912	0.06134313909731791	0.06731818645410406	0.06966361471983781	0.10630838527880261	0.07429732164349812	0.0686906277178171	0.0489877073054801	0.09247755776050952	0.06774891785389375	0.05750008694783691	0.08607974250738198	0.08441144277215921	0.08333665176027855	0.073267639601996	0.08995688380826905	0.09196467716788694	0.09095202449591128	0.08675919982268009	0.11077413239970382	0.10583794808137394	0.08112142054568186	0.07849671502701176	0.0947384281073779	0.070144135836096	0.31488123019990444	0.10684472530737238	0.0947036562436624	0.5201169813107633	0.09765937241753936	0.07745392563651124	0.09368690544277067	0.10384478597567601	0.22608297474723382	0.23074942052890823	0.22996908075445727	0.23595318996886094	0.23358852509570063	0.23610006705912606	0.2182492599641838	0.22715042168847563	0.20807717848322294	0.21119060333491857	0.21645643097110817	0.222805523745258	0.1998409900100394	0.18911555041650072	0.11050352731442448	0.200105326177812	0.2136415850781888	0.21007137534368056	0.08262410466211614	0.08145002317782181	0.07867657871108749	0.08282928385513416	0.07968940341178193	0.07321969760677394	0.08362810888400062	0.08037600511790512	0.42889354770715343	0.5106761518048445	0.5042876936772892	0.5343916653277698	0.25259811335968463	0.3358469865625184	0.24255490852028086	0.6678816547169079	0.684301478635531	0.7498566717083862
16SAMP-12033	0.031077948505540222	0.023584908316997544	0.04807662650677724	0.029200348499716713	0.058719895419402514	0.0	0.02652694214579097	0.06308435799475375	0.013561230504878922	0.030262915633074726	0.02266299863148858	0.012722730632541934	0.0135663909417925	0.07601723820360924	0.10596341732401551	0.01685903700091926	0.01261850869944888	0.0827067588088782	0.017419242342890558	0.011589661153887104	0.03173521379765383	0.042591266013006085	0.011040389407400842	0.0058675156916015506	0.03816569092805833	0.03025694178241422	0.030482220909915203	0.018809981510139663	0.04391236103522779	0.048419346348408554	0.04596890010246287	0.050459881243203886	0.08934865173617157	0.07454197480917431	0.024996167661842546	0.023292109172381878	0.044671882485723916	0.02814333482465253	0.36589374231442684	0.06556342501689405	0.043310836665431354	0.5696885251697174	0.047613859192447205	0.027661599256755542	0.04364998275985008	0.053802458956981394	0.2831454062194223	0.2878970016487771	0.28700147039877455	0.2930874318250593	0.29063700813584503	0.2931113481267837	0.2752951664070477	0.28406078281832436	0.26544050141538356	0.26810661685600023	0.27334480679237294	0.27983513388818376	0.2568657016310036	0.24599897346919777	0.16751055317172736	0.25693188415520307	0.27049489695234025	0.26688700302785456	0.03487672284042778	0.0321140794737269	0.04001974715299157	0.050649932894870076	0.05644318109025939	0.030164203498106827	0.035317679253748964	0.04482025121444772	0.45956502166266505	0.5539541456449301	0.5504200429406146	0.5701770158053283	0.30328723609712643	0.38589265412041557	0.2940454720813	0.6927203569592435	0.7094347800588456	0.7745544310427876
16SAMP-12034	0.007485755072601786	0.04881710395261194	0.07172357445672792	0.008592793232000814	0.07653394659508227	0.02652694214579097	0.0	0.08159467033891535	0.01372566824031596	0.009422663756498199	0.04512245004857757	0.014418386708110268	0.02398483306901632	0.10065424800817555	0.13220066906019542	0.012975744758527318	0.03558974827892927	0.10576764242655515	0.028823866541406895	0.03341564120594159	0.05636139760026565	0.016701595536031445	0.021504754437107962	0.021573585633568683	0.05816062916951742	0.05281129180677077	0.05341663001234033	0.04131954430452114	0.06657237593998139	0.06837605894741805	0.06590482029792362	0.07381349995057472	0.11232902561358266	0.09444828899240218	0.047543054684311234	0.04620990116447134	0.019825262282118093	0.03761674275319806	0.38310834727209453	0.06517715612041898	0.030985163055902043	0.587575077066409	0.022820046761432608	0.028418782596036987	0.019284597743218567	0.03016023830297748	0.277726889628842	0.2824320677323904	0.2816409426098171	0.2876217541141387	0.28524244843814556	0.28773134549381285	0.2699162125679146	0.27882586787810765	0.25951939609287805	0.26269774024994136	0.2679482068884701	0.2744305337276953	0.25147601736712777	0.24060821181807232	0.16970903672733684	0.25154327181081365	0.26509253379184883	0.26148991300011726	0.029370266347001725	0.0307592087390723	0.059711702348221166	0.07187766049767676	0.07540535167198502	0.0503401007286878	0.05836588916514539	0.06103860550604377	0.4546715909270268	0.5720700930386974	0.5686589255700742	0.5826252127508613	0.3272435042215727	0.4036233731476921	0.3146920912672621	0.7154979334211113	0.7304995901773876	0.7974628866452584
16SAMP-12035	0.08617089041241954	0.0645720382491393	0.051104290832172466	0.08445020178497976	0.006362357339353721	0.06308435799475375	0.08159467033891535	0.0	0.06787140950284659	0.08522001825069711	0.044544113249314975	0.06856113744209837	0.0754905460802654	0.07301117772084453	0.058744536386806545	0.07231423388385033	0.07454485297945525	0.11087854153319344	0.07932382679139706	0.07352621919889973	0.05379603794333514	0.09755688249718861	0.07252126133670064	0.06223108944643543	0.09121962515469725	0.0894594631093281	0.08811161674635815	0.07848747297446192	0.09491027021520093	0.0970772795255203	0.09586639931308417	0.0914483731876291	0.11546795854312268	0.11085718943470071	0.08619153551856346	0.08333654338957208	0.09982234837030465	0.07520418509123056	0.30934684401082924	0.11158983255399604	0.09969880300306985	0.5171217380287373	0.10275129742144588	0.08248134582196158	0.0987657756201024	0.10893848902764751	0.22190172314330237	0.22665989419514393	0.22576779581639742	0.2318863148952236	0.2294039877600742	0.23186770136201426	0.21405402045839259	0.2229128890551503	0.20423443668660576	0.20688404609016534	0.21210910873826166	0.21861655995249452	0.19561497038566059	0.18477856210571458	0.10628333854980104	0.195675958631126	0.20927458033260551	0.20562226469761288	0.08790447029537123	0.08662608669526965	0.08393706286238853	0.08819671040872559	0.08516488284962126	0.07840086799029192	0.08860903641113155	0.0852790378564739	0.4268772731796444	0.5078797632025576	0.501579112108951	0.5321506454878931	0.24880234807357868	0.331189304044347	0.238947546654265	0.6655835561068049	0.6822610353722893	0.7473529326606101
16SAMP-12036	0.018329522761492762	0.035626646225940195	0.059348555727140095	0.01699714252675149	0.06325206302307712	0.013561230504878922	0.01372566824031596	0.06787140950284659	0.0	0.017427290799147448	0.03351332124285367	0.009965643198232739	0.020075952126024872	0.087139397812153	0.11864549489026632	0.011994047123393206	0.024685333478539094	0.09472756971283894	0.02391181684804369	0.02248476604031229	0.04287012491897707	0.029714399458803952	0.017106667382460115	0.008727759274340755	0.05010028079205388	0.042171709133605115	0.04244030066699451	0.030768805490376683	0.05597606393616989	0.06033427894184999	0.05788531323201994	0.06227574630927646	0.10129903240096713	0.08643914207212712	0.0369057378313351	0.035250951429162534	0.03198135295516914	0.030264716189493158	0.37514050638101437	0.06515728872729883	0.03559647608004776	0.5795149847187151	0.03491390098617272	0.024051056619832194	0.031078706343795094	0.04106758987177461	0.2752442799686161	0.27995243367023964	0.27911196097162316	0.2851524063647996	0.2827277220656284	0.28519610079023333	0.26739156194680214	0.2762956174128703	0.2575213163834969	0.26019474898254435	0.26541634171861156	0.2719102150402711	0.2489566185838993	0.23808945909620394	0.15955765887702866	0.24900186729446855	0.2625773784909813	0.2589477288573298	0.02855874526742619	0.02789574223667128	0.0511314112381034	0.06288568064422434	0.06716482896014214	0.04241494626084054	0.04754874962889218	0.05231550440731521	0.4558791964378916	0.5638385868623256	0.5603083112423723	0.576358160225764	0.3146786570440035	0.39576476262221133	0.3046620177494769	0.7049739334838676	0.7217511409872521	0.7868641072674014
16SAMP-12037	0.008446199546330474	0.05262756002398495	0.07546051801912311	0.007905269760023237	0.08020712130810673	0.030262915633074726	0.009422663756498199	0.08522001825069711	0.017427290799147448	0.0	0.04873811168175812	0.020077909897813682	0.02871915383540533	0.10437475361164819	0.13600086366339348	0.02217398361130286	0.04033833739595585	0.11070671726928431	0.032529981876291046	0.03837227199287693	0.05995469172876438	0.01718658535778119	0.027169247398859966	0.0252670826429472	0.061796668521231675	0.0578227847957011	0.05850682643691707	0.046248104756219155	0.07149687734824275	0.0713745060277472	0.06619435289379656	0.07828316510504922	0.11722344532179342	0.09433307282126736	0.05250739869099962	0.051224682734356194	0.019469112058552517	0.03421262471184577	0.38229160950458874	0.06113481138336645	0.02869646423106223	0.5875194671303567	0.02353823355551181	0.025074365477206255	0.017728355473402915	0.031986244057806	0.27416178398645075	0.2788026677010477	0.27802436242587636	0.2840199780521544	0.2816439420483418	0.2841138596196253	0.2663054076221991	0.27521287092047997	0.2558875714718073	0.2591043513494053	0.2643396788457111	0.270828487709154	0.24787957574747133	0.237011280458944	0.1735371649569527	0.2479242942047151	0.2615036512608569	0.25787400162720536	0.03187282487154226	0.031175275219780654	0.06159369839924436	0.07387092225317046	0.07718560264929439	0.05335613347216591	0.06337047527621958	0.06304976292874012	0.44867894593343416	0.5714641622343755	0.5679078663145849	0.5787588685340124	0.3307688809126126	0.4053180400502629	0.31506301552762106	0.7202431782801324	0.7344988263191999	0.8022088573898384
