Seq_ID	Sample_ID	Sample_ID2	Sample_Type	Sample_Group	Dev_Temp	Dataset	Time	Block	BT	Comment
16SAMP-12028	SA-NDJ-X382	13-23-1-T0-1	Fly	13-23	23	Temp_Micro	T0	1	13-B1	Flies 13-23 B1 Rep 1 T0
16SAMP-12029	SA-NDJ-X383	13-23-2-T0-1	Fly	13-23	23	Temp_Micro	T0	2	13-B2	Flies 13-23 B2 Rep 1 T0
16SAMP-12030	SA-NDJ-X384	13-23-2-T0-2	Fly	13-23	23	Temp_Micro	T0	2	13-B2	Flies 13-23 B2 Rep 2 T0
16SAMP-12031	SA-NDJ-X385	23-23-1-T0-1	Fly	23-23	23	Temp_Micro	T0	1	23-B1	Flies 23-23 B1 Rep 1 T0
16SAMP-12032	SA-NDJ-X386	23-23-2-T0-1	Fly	23-23	23	Temp_Micro	T0	2	23-B2	Flies 23-23 B2 Rep 1 T0
16SAMP-12033	SA-NDJ-X387	23-23-2-T0-2	Fly	23-23	23	Temp_Micro	T0	2	23-B2	Flies 23-23 B2 Rep 2 T0
16SAMP-12034	SA-NDJ-X388	31-23-1-T0-1	Fly	31-23	23	Temp_Micro	T0	1	31-B1	Flies 31-23 B1 Rep 1 T0
16SAMP-12035	SA-NDJ-X389	31-23-2-T0-1	Fly	31-23	23	Temp_Micro	T0	2	31-B2	Flies 31-23 B2 Rep 1 T0
16SAMP-12036	SA-NDJ-X390	31-23-2-T0-2	Fly	31-23	23	Temp_Micro	T0	2	31-B2	Flies 31-23 B2 Rep 2 T0
16SAMP-12037	SA-NDJ-X391	suc-23-1-T0-1	Fly	suc-23	23	Temp_Micro	T0	1	Suc-B1	Flies Suc-23 B1 Rep 1 T0
16SAMP-12038	SA-NDJ-X392	suc-23-2-T0-1	Fly	suc-23	23	Temp_Micro	T0	2	Suc-B2	Flies Suc-23 B2 Rep 1 T0
16SAMP-12039	SA-NDJ-X393	suc-23-2-T0-2	Fly	suc-23	23	Temp_Micro	T0	2	Suc-B2	Flies Suc-23 B2 Rep 2 T0
16SAMP-12040	SA-NDJ-X394	13-23-1-T24-1	Fly	13-23	23	Temp_Micro	T24	1	13-B1	Flies 13-23 B1 Rep 1 T24
16SAMP-12041	SA-NDJ-X395	13-23-2-T24-1	Fly	13-23	23	Temp_Micro	T24	2	13-B2	Flies 13-23 B2 Rep 1 T24
16SAMP-12042	SA-NDJ-X396	13-23-2-T24-2	Fly	13-23	23	Temp_Micro	T24	2	13-B2	Flies 13-23 B2 Rep 2 T24
16SAMP-12043	SA-NDJ-X397	23-23-1-T24-1	Fly	23-23	23	Temp_Micro	T24	1	23-B1	Flies 23-23 B1 Rep 1 T24
16SAMP-12044	SA-NDJ-X398	23-23-2-T24-1	Fly	23-23	23	Temp_Micro	T24	2	23-B2	Flies 23-23 B2 Rep 1 T24
16SAMP-12045	SA-NDJ-X399	23-23-2-T24-2	Fly	23-23	23	Temp_Micro	T24	2	23-B2	Flies 23-23 B2 Rep 2 T24
16SAMP-12046	SA-NDJ-X400	31-23-1-T24-1	Fly	31-23	23	Temp_Micro	T24	1	31-B1	Flies 31-23 B1 Rep 1 T24
16SAMP-12047	SA-NDJ-X401	31-23-2-T24-1	Fly	31-23	23	Temp_Micro	T24	2	31-B2	Flies 31-23 B2 Rep 1 T24
16SAMP-12048	SA-NDJ-X402	31-23-2-T24-2	Fly	31-23	23	Temp_Micro	T24	2	31-B2	Flies 31-23 B2 Rep 2 T24
16SAMP-12049	SA-NDJ-X403	suc-23-1-T24-1	Fly	suc-23	23	Temp_Micro	T24	1	Suc-B1	Flies Suc-23 B1 Rep 1 T24
16SAMP-12050	SA-NDJ-X404	suc-23-2-T24-1	Fly	suc-23	23	Temp_Micro	T24	2	Suc-B2	Flies Suc-23 B2 Rep 1 T24
16SAMP-12051	SA-NDJ-X405	suc-23-2-T24-2	Fly	suc-23	23	Temp_Micro	T24	2	Suc-B2	Flies Suc-23 B2 Rep 2 T24
16SAMP-12052	SA-NDJ-X406	13-23-1-T48-1	Fly	13-23	23	Temp_Micro	T48	1	13-B1	Flies 13-23 B1 Rep 1 T48
16SAMP-12053	SA-NDJ-X407	13-23-2-T48-1	Fly	13-23	23	Temp_Micro	T48	2	13-B2	Flies 13-23 B2 Rep 1 T48
16SAMP-12054	SA-NDJ-X408	13-23-2-T48-2	Fly	13-23	23	Temp_Micro	T48	2	13-B2	Flies 13-23 B2 Rep 2 T48
16SAMP-12055	SA-NDJ-X409	23-23-1-T48-1	Fly	23-23	23	Temp_Micro	T48	1	23-B1	Flies 23-23 B1 Rep 1 T48
16SAMP-12056	SA-NDJ-X410	23-23-2-T48-1	Fly	23-23	23	Temp_Micro	T48	2	23-B2	Flies 23-23 B2 Rep 1 T48
16SAMP-12057	SA-NDJ-X411	23-23-2-T48-2	Fly	23-23	23	Temp_Micro	T48	2	23-B2	Flies 23-23 B2 Rep 2 T48
16SAMP-12058	SA-NDJ-X412	31-23-1-T48-1	Fly	31-23	23	Temp_Micro	T48	1	31-B1	Flies 31-23 B1 Rep 1 T48
16SAMP-12059	SA-NDJ-X413	31-23-2-T48-1	Fly	31-23	23	Temp_Micro	T48	2	31-B2	Flies 31-23 B2 Rep 1 T48
16SAMP-12060	SA-NDJ-X414	31-23-2-T48-2	Fly	31-23	23	Temp_Micro	T48	2	31-B2	Flies 31-23 B2 Rep 2 T48
16SAMP-12061	SA-NDJ-X415	suc-23-1-T48-1	Fly	suc-23	23	Temp_Micro	T48	1	Suc-B1	Flies Suc-23 B1 Rep 1 T48
16SAMP-12062	SA-NDJ-X416	suc-23-2-T48-1	Fly	suc-23	23	Temp_Micro	T48	2	Suc-B2	Flies Suc-23 B2 Rep 1 T48
16SAMP-12063	SA-NDJ-X417	suc-23-2-T48-2	Fly	suc-23	23	Temp_Micro	T48	2	Suc-B2	Flies Suc-23 B2 Rep 2 T48
16SAMP-12064	SA-NDJ-X418	susp-13-1-1	Suspension	susp-13	13	Temp_Micro	NA	1	13-B1	Suspension 13 B1 Rep 1
16SAMP-12065	SA-NDJ-X419	susp-23-1-1	Suspension	susp-23	23	Temp_Micro	NA	1	23-B1	Suspension 23 B1 Rep 1
16SAMP-12066	SA-NDJ-X420	susp-31-1-1	Suspension	susp-31	31	Temp_Micro	NA	1	31-B1	Suspension 31 B1 Rep 1
16SAMP-12067	SA-NDJ-X422	susp-13-2-1	Suspension	susp-13	13	Temp_Micro	NA	2	13-B2	Suspension 13 B2 Rep 1
16SAMP-12068	SA-NDJ-X423	susp-23-2-1	Suspension	susp-23	23	Temp_Micro	NA	2	23-B2	Suspension 23 B2 Rep 1
16SAMP-12069	SA-NDJ-X424	susp-31-2-1	Suspension	susp-31	31	Temp_Micro	NA	2	31-B2	Suspension 31 B2 Rep 1
16SAMP-12106	SA-NDJ-X418-B	susp-13-1-2	Suspension	susp-13-b	13	Temp_Micro	NA	1	13-B1	Suspension 13 B1 Rep 2
16SAMP-12107	SA-NDJ-X419-B	susp-23-1-2	Suspension	susp-23-b	23	Temp_Micro	NA	1	23-B1	Suspension 23 B1 Rep 2
16SAMP-12108	SA-NDJ-X422-B	susp-13-2-2	Suspension	susp-13-b	13	Temp_Micro	NA	2	13-B2	Suspension 13 B2 Rep 2
16SAMP-12109	SA-NDJ-X423-B	susp-23-2-2	Suspension	susp-23-b	23	Temp_Micro	NA	2	23-B2	Suspension 23 B2 Rep 2
16SAMP-4961	SA-PMT-1	1.1	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4962	SA-PMT-2	1.2	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4963	SA-PMT-3	1.3	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4964	SA-PMT-4	1.4	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4965	SA-PMT-5	1.5	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4966	SA-PMT-6	1.6	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4967	SA-PMT-7	1.7	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4968	SA-PMT-8	1.8	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4969	SA-PMT-9	1.9	Fly	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4970	SA-PMT-10	2.1	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4971	SA-PMT-11	2.2	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4972	SA-PMT-12	2.3	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4973	SA-PMT-13	2.4	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4974	SA-PMT-14	2.5	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4975	SA-PMT-15	2.6	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4976	SA-PMT-16	2.7	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4977	SA-PMT-17	2.8	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4978	SA-PMT-18	2.9	Fly	temp-25	25	Temp_Pia	T24	NA	NA	NA
16SAMP-4979	SA-PMT-19	3.1	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4980	SA-PMT-20	3.2	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4981	SA-PMT-21	3.3	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4982	SA-PMT-22	3.4	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4983	SA-PMT-23	3.5	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4984	SA-PMT-24	3.6	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4985	SA-PMT-25	3.7	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4986	SA-PMT-26	3.8	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4987	SA-PMT-27	3.9	Fly	temp-13	13	Temp_Pia	NA	NA	NA	NA
16SAMP-4988	SA-PMT-28	M4	Media	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4989	SA-PMT-29	M5	Media	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4990	SA-PMT-30	M6	Media	temp-31	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4991	SA-PMT-31	M10	Media	temp-25	25	Temp_Pia	NA	NA	NA	NA
16SAMP-4992	SA-PMT-32	M11	Media	temp-25	25	Temp_Pia	NA	NA	NA	NA
16SAMP-4993	SA-PMT-33	M12	Media	temp-25	25	Temp_Pia	NA	NA	NA	NA
16SAMP-4994	SA-PMT-34	M16	Media	temp-13	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4995	SA-PMT-35	M17	Media	temp-13	31	Temp_Pia	NA	NA	NA	NA
16SAMP-4996	SA-PMT-36	M18	Media	temp-13	31	Temp_Pia	NA	NA	NA	NA
