Class	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
Actinobacteria	0.201	0.0717	0.16	0.181	0.0743	0.00835	0.35	0	0.0156	0.942	0.239	0.0254	0.378	0.0278	0.00936	0	0.0432	0.0117	0.488	0.0237	0.036	0.49	0.0253	0	0.503	0.061	0.0147	0.0719	0.0745	0.597	0.889	0.0192	0.00958	1.43	0.07	0.0285	0.708	2.43	0.628	0.699	0.299	0.534	0.543	2.53	1.73	0.135	0.00369	0.025	0.00773	0.0228	0.00633	0.00793	0.0114	0.00717	0.0825	0.0102	0.00848	0.0127	0.00587	0.00713	0.0319	0.00319	0.011	0	0.413	1.04	1.61	1.42	1.71	0.532	0.0501	1.04	9.7	0.701	0.719	9.26	0.0955	0.678	0.755	0.0272	0.484	0	19.9
Alphaproteobacteria	2.88	5.77	11.6	3.54	22.9	3.52	2.19	24.6	4.06	3.1	10.2	1.8	0.667	9.95	19.3	0.888	1.93	1.35	0.234	2.14	9.37	2.05	0.784	3.57	0.524	0.366	0.788	1.31	0.631	0.636	0.499	2.5	1.12	0.25	0.552	1.13	0.655	4.03	60.5	0	0.798	22	0.486	3.33	0.481	0.781	95.3	96.9	96.6	98.7	97.9	98.6	92.9	95.8	89.6	90.7	92.1	94.5	87.1	83.9	59.4	87.4	92.4	90.2	1.75	1.31	1.42	1.83	2.77	2.25	0.745	1.73	19.8	17.2	19.5	10	82.2	63.5	85.4	0.883	0.144	0.635	19.6
(Unassigned)	94.6	86.6	79.9	94	72	90.8	94.3	70.4	92	93.4	83.9	93.5	93	78	67.9	94.6	90.9	83.2	92.8	91.1	83.6	96.3	93.6	91.5	88.8	90.2	89.8	90.3	88.3	87.8	88.1	86.1	82.6	85	90.7	90.4	97	88.8	7.46	95.8	96.1	3.49	97.7	90.5	95.7	98.9	4.07	2.57	2.65	0.775	1.49	1.02	6.28	3.37	9	8.41	7.41	4.7	11.6	14.7	37	11.4	6.22	9.02	90.2	90.4	86.8	84.9	83.4	87.7	88.8	85.9	3.16	0	0.0115	0.0118	0.00195	0.00372	0.00792	0	0.0111	0.00611	15.2
Betaproteobacteria	0	0	0	0	0	0.00835	0	0	0	0	0	0	0	0	0	0.012	0	0.0117	0	0	0	0	0	0	0	0	0	0.00514	0.00497	0.00442	0	0	0	0	0	0.00951	0.0262	0	0	0	0	0.0411	0.00915	0	0	0	0.0111	0.00277	0.00258	0.00488	0.00211	0.00132	0.00164	0.00287	0.000458	0.00256	0	0.00507	0.00391	0.00238	0.00246	0	0.0055	0.00484	2.75	1.72	0.845	1.17	1.32	0	0	1.68	45.1	0.0328	0.00769	0.00787	0.00195	0.00372	0.00264	0	0	0.00611	10.4
Bacilli	2.29	7.52	8.32	2.22	4.98	5.65	3.1	5.02	3.87	2.52	5.61	4.63	5.94	12.1	12.8	4.45	7.03	15.4	6.46	6.72	7.02	1.11	5.56	4.89	10.2	9.36	9.34	8.27	10.9	11	10.5	11.4	16.2	13.4	8.69	8.43	1.47	4.6	31.4	1.05	0.798	73.2	1.13	3.55	1.84	0.172	0.627	0.519	0.675	0.531	0.627	0.366	0.805	0.858	1.25	0.857	0.513	0.756	1.21	1.47	3.56	1.21	1.39	0.754	3.79	4.03	7.56	9	8.56	9.24	10.3	7.99	0	82.1	79.7	80.7	17.7	35.9	13.9	99.1	99.4	99.3	8.9
Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152	0.00595	0	0	0	0	0	0.00488	0.00211	0	0	0.00143	0	0.00256	0	0.00254	0	0.00475	0	0	0	0	0.856	1.06	1.16	1.12	1.55	0	0	1.15	15	0	0	0	0	0	0.00264	0	0	0	5.4
Clostridia	0	0	0	0	0	0	0.00854	0	0	0	0.0133	0	0	0	0	0	0.0576	0.0233	0.0204	0.0237	0	0.0071	0.0169	0	0	0.00677	0.0147	0.0103	0.00497	0	0	0.00638	0	0	0.00778	0.00951	0.0786	0.119	0.0118	1.75	1.7	0.452	0.0793	0.0258	0.11	0	0.00369	0	0.00773	0	0.00211	0	0	0.00143	0.000458	0.0102	0	0	0	0	0	0	0	0	0.0149	0.0104	0.065	0.0537	0.0878	0.0831	0.0501	0.0659	0	0	0	0.00393	0.00195	0	0.00264	0	0	0	3.8
Sphingobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0	0	0	0.00476	0.0524	0	0	0	0	0	0.0168	0.00793	0	0.00521	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.0249	0.0311	0.169	0.172	0.146	0	0	0.0988	1.48	0	0	0	0	0	0	0	0	0	3.2
Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0.00762	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548	0.187	0.013	0.0645	0.0732	0	0	0.143	1.69	0.00655	0	0	0	0	0	0	0	0	2.2
Caldilineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.0299	0.0259	0.065	0.118	0.19	0.00831	0	0.0768	0.422	0	0.00384	0	0	0	0	0	0	0	1.9
"Bacteroidia"	0	0.00897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0.00843	0	0	0	0	0.00514	0.0149	0	0	0	0.00958	0	0	0	0	0	0	0	0	0.0411	0	0	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0	0.00196	0	0	0	0	0	0.0697	0.0778	0	0.0215	0.0146	0.216	0	0.0549	2.53	0.00655	0	0	0	0	0	0	0	0	1.9
