Family	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
(Unassigned)	94.6	86.6	79.9	94	72	90.8	94.4	70.4	92	93.4	83.9	93.5	93	78	67.9	94.6	91	83.2	92.8	91.1	83.6	96.3	93.6	91.5	88.8	90.2	89.8	90.3	88.3	87.8	88.1	86.1	82.7	85	90.7	90.4	97	88.8	7.46	95.8	96.2	3.57	97.7	90.5	95.8	98.9	4.08	2.57	2.65	0.783	1.49	1.02	6.28	3.37	9	8.42	7.42	4.7	11.6	14.7	37	11.4	6.23	9.02	92.6	92.6	89.2	87.3	86.6	87.7	88.8	88.8	43.9	0.0197	0.0154	0.0118	0.0039	0.0335	0.0106	0	0.0148	0.00611	38.3
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786	0	0	0	0	0	0.0427	0	0.134	0.0122	0	0.00139	0.00258	0.00488	0	0	0.00164	0	0.000458	0	0.00212	0.00254	0.00391	0.00238	0	0	0.0055	0	0.353	0.228	0.247	0.236	0.468	0	0	0.406	3.8	0.00655	0.00384	0.00393	0	0	0	0	0	0	4.1
Rhodocyclaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369	0	0.00258	0.00325	0.00211	0.00132	0.00164	0.00143	0	0.00256	0	0.00254	0.00196	0.00238	0	0	0	0.00484	1.85	0.918	0.403	0.612	0.366	0	0	0.483	30.4	0.0262	0	0.00787	0.00195	0.00372	0.00264	0	0	0.00611	3.2
Propionibacteriaceae	0.0268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0.00719	0	0	0	0	0.0135	0	0.00514	0	0	0	0.00638	0	0	0.00778	0.00951	0.157	0.051	0.0237	0.35	0.0998	0	0.204	0.0218	1.31	0.0625	0	0	0	0	0	0	0	0.00143	0	0	0	0	0.00196	0.00238	0.00246	0.00319	0	0	0.0348	0.109	0.091	0.107	0.117	0.0333	0.043	0.143	0.844	0	0	0	0	0	0	0	0	0	2.8
Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369	0.00277	0	0	0	0	0	0.00143	0	0	0	0.00254	0.00196	0	0	0	0	0	0.259	0.244	0.195	0.301	0.293	0	0	0.307	2.74	0.00655	0.00384	0	0	0	0	0	0	0	2.8
Microbacteriaceae	0	0.0269	0	0	0.0594	0	0	0	0	0.0224	0	0	0	0	0	0	0.0144	0.0117	0	0	0	0.0071	0	0	0	0.00677	0	0.00514	0.0149	0.0442	0	0	0	0	0.00778	0	0.419	0.034	0.0592	0	0	0.0411	0.235	0.00397	0.0394	0.00347	0.00369	0.0222	0.00258	0.0146	0	0.00529	0.0114	0.0043	0.0147	0.00512	0	0	0	0	0.0172	0	0	0	0.0149	0.0467	0.026	0.0215	0.0146	0.0249	0	0.0329	0	0.557	0.603	7.43	0.0584	0.276	0.172	0.0109	0.484	0	2.5
Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0	0	0	0.00476	0.0524	0	0	0	0	0	0.0168	0.00793	0	0.00521	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.0249	0.0311	0.13	0.15	0.132	0	0	0.0768	1.27	0	0	0	0	0	0	0	0	0	2.5
Paenibacillaceae_1	0.134	0.0448	0	0.0134	0.0966	0.0418	0	0.0328	0.0156	0.0561	0.332	0	0	0	0	0	0.0432	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0.00958	0	0	0	0	0.017	0.0118	0	0	0.0411	0.00457	0.00397	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149	0.0104	0.026	0.312	0.439	0.324	0.0143	0.0329	0	3.16	2.48	0.779	0.867	0.808	1.36	0.856	0.0887	0.305	2.5
Sphingomonadaceae	0	0	0.00944	0	0	0.00835	0	0	0	0	0.0265	0	0	0	0	0	0	0	0.0102	0.0178	0.00719	0	0	0	0	0	0.00736	0	0	0	0	0	0	0	0.0156	0.019	0.0786	0.051	0.0118	0	0	0	0.0625	0.0297	0.071	0.0208	0	0.00139	0.00515	0.00163	0	0.00132	0	0	0.000458	0.00256	0	0	0	0	0	0	0	0	0.00498	0.156	0.065	0.0322	0.0586	0	0	0.011	1.05	0	0.00384	0	0	0	0	0	0	0	2.2
Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548	0.0519	0.117	0.0752	0.176	0	0	0.0768	0.422	0	0	0	0	0	0	0	0	0	2.2
Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0.00762	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548	0.187	0.013	0.0645	0.0732	0	0	0.143	1.69	0.00655	0	0	0	0	0	0	0	0	2.2
Corynebacteriaceae	0.174	0.0269	0.151	0.181	0.00743	0.00835	0.325	0	0.0156	0.808	0.226	0.0254	0.354	0.0278	0.00936	0	0.0288	0	0.448	0.0119	0.0288	0.433	0.0169	0	0.435	0.0339	0.00736	0.0617	0.0547	0.522	0.88	0.0128	0.00958	1.27	0.0311	0.00476	0.0786	2.24	0.533	0	0.0998	0.37	0.0503	2.46	0.17	0.059	0	0	0	0.00651	0.00422	0	0	0	0.0555	0.00256	0.00212	0.00254	0	0.00475	0.00491	0	0	0	0.0199	0.0674	0.013	0.043	0.0439	0.466	0.00716	0	0	0.138	0.115	1.82	0.037	0.324	0.583	0.0109	0	0	1.9
Caldilineaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.0299	0.0259	0.065	0.118	0.19	0.00831	0	0.0768	0.422	0	0.00384	0	0	0	0	0	0	0	1.9
Intrasporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277	0.00515	0.00163	0	0.00264	0	0.00143	0	0	0	0.00254	0.00391	0	0.00246	0	0.011	0	0.169	0.612	0.754	0.645	0.732	0.00831	0	0.505	4.01	0	0	0.00787	0	0.00372	0	0.00545	0	0	1.9
Lactobacillaceae	0.0134	0.278	0.198	0.0134	0.26	0.0585	0	0.0765	0	0.0112	0.0133	0	0	0	0.0187	0.024	0.159	0	0	0.00593	0	0	0	0	1.58	0.0135	0.0147	1.91	0	0	0	0.00638	0	0	0	0	0.0262	0.068	0.213	0	0.0998	0.822	0.032	0.0218	0.00394	0	0.405	0.304	0.407	0.404	0.469	0.249	0.245	0.304	0.474	0.115	0.102	0.236	0.24	0.102	0.0884	0.0478	0.0605	0.029	0.458	0.877	0.611	0.44	0.264	0.998	1.12	0.549	0	6.4	5.45	13.4	3.23	1.35	5.29	21.5	4.71	2.02	1.9
Leuconostocaceae	1.9	6.91	8.07	1.81	4.52	5.02	2.65	4.72	3.78	1.88	5.11	4.44	5.93	12	11.7	4.37	6.73	15.4	6.39	6.71	7.01	1.06	5.55	4.89	8.56	9.34	9.32	6.33	10.8	11	10.5	11.4	16.2	13.4	8.69	8.43	1.42	4.45	30.7	0.699	0.599	71.7	1.05	3.45	1.73	0.161	0.181	0.159	0.175	0.104	0.129	0.0991	0.453	0.207	0.607	0.742	0.411	0.502	0.96	1.36	3.47	1.16	1.33	0.721	2.24	2.7	4.7	6.03	4.64	6.17	8.55	4.01	0	34.5	38.9	2.84	6.72	24.1	4.72	46.2	52.7	89.7	1.6
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0597	0.0623	0.078	0.043	0.117	0	0	0.0988	0.844	0	0	0	0	0	0	0	0	0	1.6
