ID;CTmax;Temp;;;;;;;;;;;;;
FG20-1;39,94;20;;;;;;;;;;;;;
FG20-2;40,07;20;;;;;;;;;;;;;
FG13-1;NA;13;;;;;;;;;;;;;
FG13-2;38,68;13;;;;;;;;;;;;;
FG20-3;41,46;20;;;;;;;;;;;;;
FG13-3;39,49;13;;;;;;;;;;;;;
FG20-4;40,15;20;;;;;;;;;;;;;
FG20-5;40,73;20;;;;;;;;;;;;;
FG13-4;40,15;13;;;;;;;;;;;;;
FG13-5;39,42;13;;;;;;;;;;;;;
FG20-6;41,31;20;;;;;;;;;;;;;
FG13-6;39,21;13;;;;;;;;;;;;;
FG20-7;40,15;20;;;;;;;;;;;;;
FG20-8;40,37;20;;;;;;;;;;;;;
FG20-9;39,89;20;;;;;;;;;;;;;
FG13-7;38,24;13;;;;;;;;;;;;;
FG13-8;40,42;13;;;;;;;;;;;;;
FG20-10;39,54;20;;;;;;;;;;;;;
FG13-9;39,58;13;;;;;;;;;;;;;
FG13-10;39,02;13;;;;;;;;;;;;;
FG20-11;40,55;20;;;;;;;;;;;;;
FG13-11;39,75;13;;;;;;;;;;;;;
FG20-12;41,31;20;;;;;;;;;;;;;
FG13-12;39,29;13;;;;;;;;;;;;;
FG13-13;39,7;13;;;;;;;;;;;;;
FG20-13;40,15;20;;;;;;;;;;;;;
FG20-14;40,37;20;;;;;;;;;;;;;
FG13-14;39,79;13;;;;;;;;;;;;;
FG20-15;39,89;20;;;;;;;;;;;;;
FG20-16;39,75;20;;;;;;;;;;;;;
FG13-15;40,42;13;;;;;;;;;;;;;
FG20-17;39,6;20;;;;;;;;;;;;;
FG20-18;NA;;;;;;;;;;;;;;
FG13-16;38,38;13;;;;;;;;;;;;;
FG13-17;38,82;13;;;;;;;;;;;;;
FG13-18;40,37;13;;;;;;;;;;;;;
FG20-19;NA;;;;;;;;;;;;;;
FG13-19;39,37;13;;;;;;;;;;;;;
FG13-20;39,42;13;;;;;;;;;;;;;
FG20-20;39,66;20;;;;;;;;;;;;;
FG13-21;38,89;13;;;;;;;;;;;;;
FG20-21;40,88;20;;;;;;;;;;;;;
FG20-22;39,54;20;;;;;;;;;;;;;
FG13-22;38,99;13;;;;;;;;;;;;;
FG13-23;39,1;13;;;;;;;;;;;;;
FG20-23;40,22;20;;;;;;;;;;;;;
FG20-24;40,37;20;;;;;;;;;;;;;
FG13-24;39,45;13;;;;;;;;;;;;;
FG13-25;39,29;13;;;;;;;;;;;;;
FG20-25;39,45;20;;;;;;;;;;;;;
FG13-26;39,54;13;;;;;;;;;;;;;
FG20-26;40,15;20;;;;;;;;;;;;;
FG13-27;39,12;13;;;;;;;;;;;;;
FG20-27;40,3;20;;;;;;;;;;;;;
FG13-28;39,19;13;;;;;;;;;;;;;
FG13-29;39,15;13;;;;;;;;;;;;;
FG20-28;41,11;20;;;;;;;;;;;;;
FG20-29;40,38;20;;;;;;;;;;;;;
FG20-30;41,39;20;;;;;;;;;;;;;
FG13-30;38,8;13;;;;;;;;;;;;;
FG13-31;39,07;13;;;;;;;;;;;;;
FG20-31;40,79;20;;;;;;;;;;;;;
FG13-32;40,02;13;;;;;;;;;;;;;
FG20-32;NA;;;;;;;;;;;;;;
FG13-33;40,09;13;;;;;;;;;;;;;
FG20-33;NA;;;;;;;;;;;;;;
FG20-34;39,43;20;;;;;;;;;;;;;
FG20-35;39,6;20;;;;;;;;;;;;;
FG13-34;39,94;13;;;;;;;;;;;;;
FG20-36;40,02;20;;;;;;;;;;;;;
FG13--35;39,29;13;;;;;;;;;;;;;
FG13-36;39,54;13;;;;;;;;;;;;;
FG13-37;39,24;13;;;;;;;;;;;;;
FG20-37;40,3;20;;;;;;;;;;;;;
FG20-38;40,48;20;;;;;;;;;;;;;
FG20-39;40,15;20;;;;;;;;;;;;;
FG13-38;39,43;13;;;;;;;;;;;;;
FG13-39;39,81;13;;;;;;;;;;;;;
FG20-40;40,15;20;;;;;;;;;;;;;
FG13-40;40,02;13;;;;;;;;;;;;;
