ID;Code;Ctmax;Growth_temperature
FG13-1;1;40,82;13
FG13-2;2;40,29;13
FG20-1;3;40,03;20
FG20-15;4;39,45;20
FG13-3;5;41,03;13
FG13-4;6;39,61;13
FG20-2;7;40,38;20
FG13-5;8;38,07;13
FG20-3;9;39,15;20
FG13-6;10;40,29;13
FG13-7;11;39,28;13
FG20-4;12;40,03;20
FG13-8;13;40,32;13
FG13-9;14;39,61;13
FG20-5;15;39,38;20
FG20-6;16;40,13;20
FG20-7;17;40,2;20
FG13-10;18;39,7;13
FG20-8;19;39,7;20
FG13-11;20;39,15;13
FG20-9;21;38,85;20
FG13-12 (UDGÅET);22;NA;13
FG13-13;23;40,1;13
FG20-10;24;38,27;20
FG20-11;25;40,94;20
FG20-12;26;38,89;20
FG13-14;27;39,71;13
FG20-13;28;39,22;20
FG13-15;29;39,5;13
FG20-14;30;39,82;20
