Time;Status;Group;Replicate
7;1;FG13;1
7;1;FG13;1
7;1;OP50;1
7;1;OP50;1
9;1;FG13;1
7;0;FG13;1
9;1;OP50;1
9;1;OP50;1
9;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
11;1;OP50;1
9;0;OP50;1
13;1;OP50;1
13;1;OP50;1
13;1;OP50;1
13;1;OP50;1
13;1;OP50;1
11;0;OP50;1
11;1;FG13;1
11;1;FG13;1
11;1;FG13;1
11;1;FG13;1
13;1;FG13;1
13;1;FG13;1
5;1;FG13;1
5;1;OP50;1
5;1;FG13;2
5;1;FG13;2
5;1;FG13;2
7;1;FG13;2
7;1;FG13;2
7;0;FG13;2
11;1;FG13;2
11;1;FG13;2
13;1;FG13;2
13;1;FG13;2
13;1;FG13;2
13;1;FG13;2
13;1;FG13;2
5;1;OP50;2
5;1;OP50;2
5;1;OP50;2
7;0;OP50;2
9;1;OP50;2
9;1;OP50;2
9;1;OP50;2
11;1;OP50;2
11;1;OP50;2
11;1;OP50;2
11;1;OP50;2
11;1;OP50;2
13;1;OP50;2
