Time;Status;Replicate;Group;Mutant
4;1;;FG13;PMK
6;1;;FG13;PMK
8;1;;FG13;PMK
8;1;;FG13;PMK
10;1;;FG13;PMK
10;1;;FG13;PMK
10;1;;FG13;PMK
14;1;;FG13;PMK
6;1;;OP50;PMK
8;1;;OP50;PMK
8;1;;OP50;PMK
10;1;;OP50;PMK
10;1;;OP50;PMK
10;1;;OP50;PMK
10;1;;OP50;PMK
10;1;;OP50;PMK
10;1;;OP50;PMK
12;1;;OP50;PMK
12;1;;OP50;PMK
12;1;;OP50;PMK
12;1;;OP50;PMK
12;1;;OP50;PMK
12;1;;OP50;PMK
12;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
14;1;;OP50;PMK
18;1;;OP50;PMK
18;1;;OP50;PMK
18;1;;OP50;PMK
18;1;;OP50;PMK
18;0;;OP50;PMK
18;0;;OP50;PMK
4;1;;OP50;PMK
4;1;;FG20;PMK
6;1;;FG20;PMK
6;1;;FG20;PMK
6;1;;FG20;PMK
6;1;;FG20;PMK
6;1;;FG20;PMK
6;0;;FG20;PMK
8;1;;FG20;PMK
10;1;;FG20;PMK
10;1;;FG20;PMK
10;1;;FG20;PMK
10;1;;FG20;PMK
10;1;;FG20;PMK
10;1;;FG20;PMK
10;1;;FG20;PMK
12;1;;FG20;PMK
6;1;;OP50;RRF
8;1;;OP50;RRF
8;1;;OP50;RRF
8;1;;OP50;RRF
8;1;;OP50;RRF
10;1;;OP50;RRF
10;1;;OP50;RRF
10;1;;OP50;RRF
10;1;;OP50;RRF
10;1;;OP50;RRF
10;1;;OP50;RRF
12;1;;OP50;RRF
12;1;;OP50;RRF
14;1;;OP50;RRF
14;1;;OP50;RRF
14;1;;OP50;RRF
18;1;;OP50;RRF
18;1;;OP50;RRF
18;1;;OP50;RRF
18;1;;OP50;RRF
18;1;;OP50;RRF
18;1;;OP50;RRF
18;0;;OP50;RRF
18;0;;OP50;RRF
18;0;;OP50;RRF
6;1;;FG13;RRF
6;1;;FG13;RRF
6;1;;FG13;RRF
6;1;;FG13;RRF
8;1;;FG13;RRF
8;1;;FG13;RRF
8;1;;FG13;RRF
8;1;;FG13;RRF
8;0;;FG13;RRF
10;1;;FG13;RRF
10;1;;FG13;RRF
10;1;;FG13;RRF
10;1;;FG13;RRF
10;1;;FG13;RRF
10;1;;FG13;RRF
12;1;;FG13;RRF
12;1;;FG13;RRF
12;1;;FG13;RRF
12;1;;FG13;RRF
12;1;;FG13;RRF
12;1;;FG13;RRF
14;1;;FG13;RRF
14;1;;FG13;RRF
18;1;;FG13;RRF
18;1;;FG13;RRF
4;1;;FG20;RRF
4;1;;FG20;RRF
8;1;;FG20;RRF
14;1;;FG20;RRF
16;1;;FG20;RRF
18;1;;FG20;RRF
18;1;;FG20;RRF
4;1;;FG20;DAF
4;1;;FG20;DAF
6;1;;FG20;DAF
6;1;;FG20;DAF
6;1;;FG20;DAF
7;1;;FG20;DAF
7;1;;FG20;DAF
10;1;;FG20;DAF
12;1;;FG20;DAF
6;1;;FG13;DAF
8;1;;FG13;DAF
10;1;;FG13;DAF
10;1;;FG13;DAF
6;1;;OP50;DAF
8;1;;OP50;DAF
8;1;;OP50;DAF
8;1;;OP50;DAF
8;1;;OP50;DAF
8;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;1;;OP50;DAF
10;0;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
12;1;;OP50;DAF
14;1;;OP50;DAF
14;1;;OP50;DAF
14;1;;OP50;DAF
14;1;;OP50;DAF
14;1;;OP50;DAF
16;1;;OP50;DAF
16;1;;OP50;DAF
16;1;;OP50;DAF
16;1;;OP50;DAF
16;1;;OP50;DAF
18;1;;OP50;DAF
18;1;;OP50;DAF
18;1;;OP50;DAF
