candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
OTU33	466		43992	97.40	466
OTU8	469		169430	93.60	469
OTU3	497		15110	96.60	497
OTU49	431		4715	91.60	431
OTU42	523		107485	90.40	523
OTU36	500		104054	92.40	500
OTU24	465		49248	93.80	465
OTU20	486		29770	92.80	486
OTU25	470		169430	92.60	470
OTU38	484		29770	94.80	484
OTU41	435		44677	95.40	435
OTU14	500		96700	95.80	500
OTU17	484		6702	93.40	484
OTU50	474		58383	94.70	474
OTU10	497		108351	88.10	497
OTU27	433		128453	94.50	433
OTU29	488		6702	91.40	488
OTU11	514		15152	89.50	514
OTU47	433		59347	100.00	433
OTU26	433		137102	97.00	433
OTU7	522		216931	96.60	522
OTU9	514		108027	96.70	514
OTU31	482		6702	95.20	482
OTU30	484		58383	90.30	484
OTU18	525		76923	98.50	525
OTU12	467		137455	92.50	467
OTU32	474		213189	90.10	474
OTU2	451		6128	99.10	451
OTU23	435		137054	99.30	435
OTU34	431		4715	98.10	431
OTU28	474		58383	91.40	474
OTU19	513		58041	95.30	513
OTU45	469		137455	92.10	469
OTU40	431		49093	95.10	431
OTU58	482		29770	98.30	482
OTU39	466		43992	94.20	466
OTU43	483		150758	94.80	483
OTU48	434		88702	90.10	434
OTU21	500		141630	96.60	500
OTU35	433		156677	92.10	433
OTU66	433		44012	95.20	433
OTU59	474		212541	89.00	474
OTU4	498		141968	94.20	498
OTU53	466		176825	94.80	466
OTU67	433		5798	93.30	433
OTU15	468		29154	97.00	468
OTU69	484		213189	90.70	484
OTU44	431		44012	96.30	431
OTU13	464		137455	94.40	464
OTU55	484		29770	95.00	484
OTU46	474		58383	97.00	474
OTU77	466		202129	94.00	466
OTU5	508		170087	93.50	508
OTU16	502		104054	92.60	502
OTU80	433		6365	97.00	433
OTU61	452		174734	95.40	452
OTU57	479		216057	91.60	479
OTU85	474		58383	92.20	474
OTU22	468		136522	94.90	468
OTU70	448		5798	92.60	448
OTU1	435		128717	96.30	435
OTU72	484		6702	89.70	484
OTU37	434		70396	93.10	434
OTU62	518		58041	86.70	518
OTU6	508		164676	95.50	508
OTU95	486		6702	94.00	486
OTU63	437		69031	96.30	437
OTU83	433		84672	94.20	433
OTU56	465		11627	90.80	465
OTU60	433		5798	94.50	433
OTU51	437		69031	96.30	437
OTU90	484		227601	94.00	484
OTU89	502		210271	93.40	502
OTU78	467		184706	88.70	467
OTU93	462		176825	90.90	462
OTU100	464		214060	92.90	464
OTU91	484		213189	91.50	484
OTU94	433		5793	92.80	433
OTU68	435		100137	96.80	435
OTU98	465		29154	91.20	465
OTU88	478		214543	92.10	478
OTU71	433		5595	97.70	433
OTU109	464		29154	94.60	464
OTU52	482		7088	95.00	482
OTU64	477		84198	89.30	477
OTU74	466		43992	94.60	466
OTU65	480		60733	89.80	480
OTU96	435		216118	94.90	435
OTU97	465		83558	98.70	465
OTU79	460		26613	88.70	460
OTU104	438		21239	93.60	438
OTU102	490		79476	94.10	490
OTU81	497		146872	99.80	497
OTU84	437		2751	88.60	437
OTU115	431		5798	93.70	431
OTU107	465		214957	89.70	465
OTU76	489		91816	91.00	489
OTU99	468		43992	95.50	468
OTU108	433		128717	96.50	433
OTU116	502		104054	90.00	502
OTU106	431		105079	96.30	431
OTU73	469		191730	99.60	469
OTU101	477		12522	87.60	477
OTU82	476		146313	88.00	476
OTU111	433		100137	93.50	433
OTU54	507		170087	96.80	507
OTU110	459		21437	89.30	459
OTU105	498		156286	92.00	498
OTU92	464		197133	97.80	464
OTU119	431		5508	96.80	431
OTU87	482		163626	90.90	482
OTU103	431		4715	94.20	431
OTU75	476		224027	87.80	476
OTU86	430		4622	99.10	430
OTU113	467		115032	90.40	467
OTU114	466		176825	90.10	466
OTU126	480		90502	84.40	480
OTU112	477		13717	87.60	477
OTU121	433		4715	91.00	433
OTU124	456		163647	88.20	456
OTU123	467		174445	88.70	467
OTU147	484		143744	88.60	484
OTU143	431		4617	92.60	431
OTU118	490		110983	89.00	490
OTU127	431		4622	92.80	431
OTU142	474		213189	91.60	474
OTU120	482		145100	96.30	482
